,Champion**Item,picks
11790,Bard**Trinity Force,4
11791,Ezreal**Horizon Focus,4
11792,Sett**Bandleglass Mirror,4
11793,Viktor**Long Sword,4
11794,Gangplank**Thornmail,4
11795,LeeSin**Cull,4
11796,Blitzcrank**Spirit Visage,4
11797,Kayle**Chemtech Putrifier,4
11798,Katarina**Mobility Boots,4
11799,Sylas**Kalista's Black Spear,4
11800,MissFortune**Frostfang,4
11801,Leblanc**Essence Reaver,4
11802,Swain**Sapphire Crystal,4
11803,Caitlyn**Giant's Belt,4
11804,KogMaw**Nashor's Tooth,4
11805,Sona**Banshee's Veil,4
11806,Taliyah**Hextech Rocketbelt,4
11807,Hecarim**Zeal,3
11808,Jax**Infinity Edge,3
11809,Pyke**Black Cleaver,3
11810,Fizz**Blade of The Ruined King,3
11811,MonkeyKing**Abyssal Mask,3
11812,Bard**Galeforce,3
11813,Zed**Dagger,3
11814,RekSai**Frostfire Gauntlet,3
11815,Lucian**Rageknife,3
11816,JarvanIV**Elixir of Iron,3
11817,FiddleSticks**Your Cut,3
11818,KogMaw**Boots of Swiftness,3
11819,Alistar**Night Harvester,3
11820,Sett**Eclipse,3
11821,Darius**Maw of Malmortius,3
11822,Syndra**Sheen,3
11823,Orianna**Staff of Flowing Water,3
11824,Lucian**Amplifying Tome,3
11825,Braum**Winter's Approach,3
11826,Skarner**Essence Reaver,3
11827,Kaisa**Blighting Jewel,3
11828,Kalista**Ravenous Hydra,3
11829,Braum**Corrupting Potion,3
11830,Nocturne**Galeforce,3
11831,Caitlyn**Warden's Mail,3
11832,Morgana**Winged Moonplate,3
11833,Zoe**Commencing Stopwatch,3
11834,Kassadin**Long Sword,3
11835,Warwick**Manamune,3
11836,Gragas**Emberknife,3
11837,Jax**Navori Quickblades,3
11838,Yone**Elixir of Iron,3
11839,Tryndamere**Hexdrinker,3
11840,Volibear**Locket of the Iron Solari,3
11841,Neeko**Phantom Dancer,3
11842,Aphelios**Spirit Visage,3
11843,Viego**Duskblade of Draktharr,3
11844,Nami**Quicksilver Sash,3
11845,Vladimir**Spectre's Cowl,3
11846,Shyvana**Ornn upgraded item,1
11847,Xayah**Force of Nature,3
11848,MasterYi**Chempunk Chainsword,3
11849,LeeSin**Vigilant Wardstone,3
11850,Bard**Zeke's Convergence,3
11851,Trundle**Rageknife,3
11852,Zac**Corrupting Potion,3
11853,Sejuani**Hailblade,3
11854,Malphite**Zeke's Convergence,3
11855,Swain**Ornn upgraded item,1
11856,Viktor**Berserker's Greaves,3
11857,Nasus**Quicksilver Sash,3
11858,XinZhao**Hextech Alternator,3
11859,Teemo**Slightly Magical Footwear,3
11860,Jayce**Sorcerer's Shoes,3
11861,Lucian**Spirit Visage,3
11862,Jinx**Manamune,3
11863,Vayne**Maw of Malmortius,3
11864,Fizz**Horizon Focus,3
11865,Sejuani**Health Potion,3
11866,Veigar**Chemtech Putrifier,3
11867,Twitch**Death's Dance,3
11868,Talon**Your Cut,3
11869,Quinn**Thornmail,3
11870,Shen**Doran's Ring,3
11871,Senna**Winged Moonplate,3
11872,Shen**Nashor's Tooth,3
11873,Rumble**Targon's Buckler,3
11874,Olaf**Dagger,3
11875,Karthus**Mobility Boots,3
11876,Kaisa**Horizon Focus,3
11877,Karthus**Sapphire Crystal,3
11878,Lissandra**Abyssal Mask,3
11879,Draven**Ravenous Hydra,3
11880,Gragas**Elixir of Sorcery,3
11881,Swain**Frostfire Gauntlet,3
11882,Velkoz**Negatron Cloak,3
11883,Sona**Corrupting Potion,3
11884,Akshan**Chempunk Chainsword,3
11885,Nidalee**Vampiric Scepter,3
11886,Vayne**Slightly Magical Footwear,3
11887,Kassadin**Cull,3
11888,Ezreal**Fimbulwinter,3
11889,Brand**Aether Wisp,3
11890,Sett**Bulwark of the Mountain,3
11891,Garen**Silvermere Dawn,3
11892,Jinx**Recurve Bow,3
11893,Zac**Quicksilver Sash,3
11894,Varus**Mejai's Soulstealer,3
11895,Sett**Axiom Arc,3
11896,Aphelios**Essence Reaver,3
11897,Anivia**Warden's Mail,3
11898,Zyra**Tear of the Goddess,3
11899,Vi**Immortal Shieldbow,3
11900,Irelia**Serrated Dirk,3
11901,Graves**Giant's Belt,3
11902,Teemo**Faerie Charm,3
11903,Swain**Dead Man's Plate,3
11904,Morgana**Abyssal Mask,3
11905,Garen**Chempunk Chainsword,3
11906,Anivia**Bulwark of the Mountain,3
11907,Ezreal**Blighting Jewel,3
11908,Shen**Zhonya's Hourglass,3
11909,LeeSin**Fiendish Codex,3
11910,Vayne**Axiom Arc,3
11911,Fizz**Mobility Boots,3
11912,Lulu**Demonic Embrace,3
11913,Camille**Mikael's Blessing,3
11914,XinZhao**Elixir of Wrath,3
11915,Akshan**Zhonya's Hourglass,3
11916,Gwen**Hullbreaker,3
11917,Shen**Caulfield's Warhammer,3
11918,Varus**Seraph's Embrace,3
11919,Lulu**Kraken Slayer,3
11920,Lulu**Bramble Vest,3
11921,Veigar**Warmog's Armor,3
11922,Morgana**Watchful Wardstone,3
11923,Senna**Thornmail,3
11924,Aphelios**Edge of Night,3
11925,AurelionSol**Bulwark of the Mountain,3
11926,Kayn**Elixir of Wrath,3
11927,Aphelios**Rabadon's Deathcap,3
11928,Janna**Long Sword,3
11929,Jayce**Perfectly Timed Stopwatch,3
11930,Irelia**Mercurial Scimitar,3
11931,Shen**Berserker's Greaves,3
11932,Kennen**Tear of the Goddess,3
11933,Xerath**Night Harvester,3
11934,Syndra**Mobility Boots,3
11935,Skarner**Bulwark of the Mountain,3
11936,DrMundo**Death's Dance,3
11937,Maokai**Minion Dematerializer,3
11938,Kaisa**Elixir of Wrath,3
11939,Chogath**Mobility Boots,3
11940,Olaf**Serpent's Fang,3
11941,Lulu**Seraph's Embrace,3
11942,Corki**Randuin's Omen,3
11943,Kayn**Silvermere Dawn,3
11944,Kled**Duskblade of Draktharr,3
11945,Ryze**Leeching Leer,3
11946,RekSai**Ironspike Whip,3
11947,Zilean**Quicksilver Sash,3
11948,Elise**Anathema's Chains,3
11949,Corki**Liandry's Anguish,3
11950,Thresh**Executioner's Calling,3
11951,Shyvana**Crystalline Bracer,3
11952,Xerath**Archangel's Staff,3
11953,Zyra**Slightly Magical Footwear,3
11954,Neeko**Negatron Cloak,3
11955,Maokai**Mejai's Soulstealer,3
11956,Viego**Youmuu's Ghostblade,3
11957,Bard**Frostfire Gauntlet,3
11958,Sett**Zeal,3
11959,Ezreal**Everfrost,3
11960,Zac**Aether Wisp,3
11961,Sivir**Negatron Cloak,3
11962,XinZhao**Crown of the Shattered Queen,3
11963,Skarner**Hailblade,3
11964,Samira**Chempunk Chainsword,3
11965,Nidalee**Forbidden Idol,3
11966,Shen**Elixir of Iron,3
11967,Tryndamere**Elixir of Wrath,3
11968,Lissandra**Vigilant Wardstone,3
11969,LeeSin**Forbidden Idol,3
11970,Shen**Corrupting Potion,3
11971,MonkeyKing**Recurve Bow,3
11972,Tryndamere**Divine Sunderer,3
11973,KogMaw**Slightly Magical Footwear,3
11974,Skarner**Knight's Vow,3
11975,Alistar**Mikael's Blessing,3
11976,Urgot**Runesteel Spaulders,3
11977,Riven**Mortal Reminder,3
11978,Darius**Edge of Night,3
11979,Volibear**Crown of the Shattered Queen,3
11980,Pyke**Lord Dominik's Regards,3
11981,Malzahar**Plated Steelcaps,3
11982,Thresh**Everfrost,3
11983,Yuumi**Bulwark of the Mountain,3
11984,MissFortune**Kindlegem,3
11985,Kassadin**Anathema's Chains,3
11986,Singed**Perfectly Timed Stopwatch,3
11987,Jayce**Essence Reaver,3
11988,Lucian**Umbral Glaive,3
11989,Nasus**Bami's Cinder,3
11990,Poppy**Watchful Wardstone,3
11991,Zed**Randuin's Omen,3
11992,Vi**Hailblade,3
11993,Gnar**Titanic Hydra,3
11994,Tryndamere**Ornn upgraded item,1
11995,Taric**Dark Seal,3
11996,Talon**Mortal Reminder,3
11997,RekSai**Aegis of the Legion,3
11998,Ashe**Eclipse,3
11999,Tryndamere**Mobility Boots,3
12000,Nautilus**Mejai's Soulstealer,3
12001,Ahri**Essence Reaver,3
12002,MissFortune**Divine Sunderer,3
12003,Poppy**Silvermere Dawn,3
12004,Zyra**Negatron Cloak,3
12005,RekSai**Zhonya's Hourglass,3
12006,Orianna**Giant's Belt,3
12007,Taric**Steel Shoulderguards,3
12008,Diana**Frozen Heart,3
12009,Kennen**Rylai's Crystal Scepter,3
12010,Shen**Sterak's Gage,3
12011,LeeSin**Sorcerer's Shoes,3
12012,Caitlyn**Chempunk Chainsword,3
12013,Yone**Guinsoo's Rageblade,3
12014,Gnar**Ionian Boots of Lucidity,3
12015,Diana**Seraph's Embrace,3
12016,Zyra**Sapphire Crystal,3
12017,Blitzcrank**Executioner's Calling,3
12018,Ornn**Long Sword,3
12019,Poppy**Vigilant Wardstone,3
12020,Vi**Bami's Cinder,3
12021,Lucian**Dark Seal,3
12022,Lillia**Moonstone Renewer,3
12023,Fiora**Pauldrons of Whiterock,3
12024,Trundle**Elixir of Wrath,3
12025,Yasuo**Runesteel Spaulders,3
12026,Kindred**Navori Quickblades,3
12027,Viktor**Commencing Stopwatch,3
12028,Annie**Boots of Swiftness,3
12029,Katarina**Rageknife,3
12030,Khazix**Randuin's Omen,3
12031,Volibear**Prowler's Claw,3
12032,Yasuo**Nashor's Tooth,3
12033,Sett**Infinity Edge,3
12034,Sejuani**Emberknife,3
12035,TwistedFate**Last Whisper,3
12036,Taliyah**Mobility Boots,3
12037,TahmKench**Sorcerer's Shoes,3
12038,Rengar**Navori Quickblades,3
12039,Pyke**Winged Moonplate,3
12040,Rell**Tear of the Goddess,3
12041,Varus**Liandry's Anguish,3
12042,Ashe**Tiamat,3
12043,Renekton**Knight's Vow,3
12044,Swain**Negatron Cloak,3
12045,Blitzcrank**Commencing Stopwatch,3
12046,KogMaw**Faerie Charm,3
12047,Graves**Ironspike Whip,3
12048,Irelia**Rabadon's Deathcap,3
12049,Aphelios**Ionian Boots of Lucidity,3
12050,Poppy**Wit's End,3
12051,Rammus**Mejai's Soulstealer,3
12052,Illaoi**Tiamat,3
12053,Amumu**Blighting Jewel,3
12054,LeeSin**Crystalline Bracer,3
12055,Karthus**Boots of Swiftness,3
12056,LeeSin**Redemption,3
12057,Nunu**Winter's Approach,3
12058,Poppy**Perfectly Timed Stopwatch,3
12059,JarvanIV**Quicksilver Sash,3
12060,Sejuani**Hextech Alternator,3
12061,Ekko**Health Potion,3
12062,Draven**Crown of the Shattered Queen,3
12063,Twitch**Black Cleaver,3
12064,Yone**Your Cut,3
12065,Elise**Targon's Buckler,3
12066,Nidalee**Infinity Edge,3
12067,Ahri**Perfectly Timed Stopwatch,3
12068,JarvanIV**Staff of Flowing Water,3
12069,Ryze**Elixir of Sorcery,3
12070,Anivia**Vigilant Wardstone,3
12071,Annie**Doran's Shield,3
12072,Yorick**Vampiric Scepter,3
12073,Shyvana**Boots of Swiftness,3
12074,Nidalee**Phantom Dancer,3
12075,Pyke**Wit's End,3
12076,Viego**Aegis of the Legion,3
12077,Riven**Aegis of the Legion,3
12078,Shyvana**Warden's Mail,3
12079,Swain**Moonstone Renewer,3
12080,FiddleSticks**Slightly Magical Footwear,3
12081,Morgana**Frozen Heart,3
12082,Trundle**Faerie Charm,3
12083,TwistedFate**Elixir of Sorcery,3
12084,Skarner**Mobility Boots,3
12085,TahmKench**Cull,3
12086,Jhin**Wit's End,3
12087,Renekton**Immortal Shieldbow,3
12088,Udyr**Morellonomicon,3
12089,Jhin**Prowler's Claw,3
12090,Darius**Duskblade of Draktharr,3
12091,Sett**Zeke's Convergence,3
12092,Rumble**Tear of the Goddess,3
12093,Anivia**Frozen Heart,3
12094,MissFortune**Crown of the Shattered Queen,3
12095,Rumble**Elixir of Sorcery,3
12096,Sett**Rejuvenation Bead,3
12097,Aatrox**Mobility Boots,3
12098,Bard**Commencing Stopwatch,3
12099,Ivern**Vigilant Wardstone,3
12100,MasterYi**Tear of the Goddess,3
12101,Ekko**Your Cut,3
12102,Brand**Thornmail,3
12103,Sona**Sapphire Crystal,3
12104,Zed**Faerie Charm,3
12105,Galio**Minion Dematerializer,3
12106,JarvanIV**Forbidden Idol,3
12107,FiddleSticks**Riftmaker,3
12108,Irelia**Turbo Chemtank,3
12109,Nasus**Ornn upgraded item,1
12110,Irelia**Luden's Tempest,3
12111,Nocturne**Cull,3
12112,Malzahar**Cull,3
12113,Shyvana**Spectre's Cowl,3
12114,JarvanIV**Immortal Shieldbow,3
12115,Ezreal**Boots of Swiftness,3
12116,FiddleSticks**Abyssal Mask,3
12117,Zyra**Seraph's Embrace,3
12118,Kayle**Guardian Angel,3
12119,Nocturne**Zeal,3
12120,Kled**Tear of the Goddess,3
12121,Aatrox**Frostfire Gauntlet,3
12122,Shaco**Trinity Force,3
12123,Samira**Elixir of Wrath,3
12124,Amumu**Perfectly Timed Stopwatch,3
12125,Yuumi**Targon's Buckler,3
12126,Karthus**Faerie Charm,3
12127,Taric**Titanic Hydra,3
12128,Sion**Essence Reaver,3
12129,Corki**Black Mist Scythe,3
12130,Vex**Sapphire Crystal,3
12131,Warwick**Mortal Reminder,3
12132,Irelia**Lich Bane,3
12133,Katarina**Spirit Visage,3
12134,Gnar**Serpent's Fang,3
12135,KogMaw**Silvermere Dawn,3
12136,Nidalee**Health Potion,3
12137,Lissandra**Mobility Boots,3
12138,Shyvana**Rejuvenation Bead,3
12139,Kayle**Locket of the Iron Solari,3
12140,Talon**Infinity Edge,3
12141,Ekko**Spirit Visage,3
12142,Pantheon**Winged Moonplate,3
12143,Aphelios**Randuin's Omen,3
12144,Yone**Titanic Hydra,3
12145,Bard**Wit's End,3
12146,Rengar**Galeforce,3
12147,Lissandra**Perfectly Timed Stopwatch,3
12148,Jayce**Infinity Edge,3
12149,Sett**Frozen Heart,3
12150,Zyra**Riftmaker,3
12151,Alistar**Doran's Shield,3
12152,Blitzcrank**Chemtech Putrifier,3
12153,RekSai**Sunfire Aegis,3
12154,Ziggs**Sapphire Crystal,3
12155,Kindred**Frozen Heart,3
12156,Braum**Warmog's Armor,3
12157,Seraphine**Frozen Heart,3
12158,Mordekaiser**Horizon Focus,3
12159,AurelionSol**Null-Magic Mantle,3
12160,Skarner**Slightly Magical Footwear,3
12161,Zilean**Chain Vest,3
12162,Viego**Sorcerer's Shoes,3
12163,Leblanc**Spellthief's Edge,3
12164,LeeSin**Elixir of Iron,3
12165,LeeSin**Hearthbound Axe,3
12166,Twitch**Kircheis Shard,3
12167,Jax**Serpent's Fang,3
12168,Orianna**Locket of the Iron Solari,3
12169,Qiyana**Zhonya's Hourglass,3
12170,Quinn**Force of Nature,3
12171,Ezreal**Shard of True Ice,3
12172,Shyvana**Rylai's Crystal Scepter,3
12173,MasterYi**Health Potion,3
12174,Taric**Long Sword,3
12175,Yasuo**Rageknife,3
12176,Shen**Dark Seal,3
12177,Qiyana**Sorcerer's Shoes,3
12178,Ekko**Randuin's Omen,3
12179,Yorick**Quicksilver Sash,3
12180,Zed**Mercurial Scimitar,3
12181,Kled**Maw of Malmortius,3
12182,Aphelios**Spectre's Cowl,3
12183,Varus**Essence Reaver,3
12184,Akali**Spirit Visage,3
12185,Evelynn**Tear of the Goddess,3
12186,Pyke**Bulwark of the Mountain,3
12187,Yone**Dead Man's Plate,3
12188,Nunu**Fimbulwinter,3
12189,Elise**Chain Vest,3
12190,Khazix**Doran's Shield,3
12191,Taliyah**Archangel's Staff,3
12192,Darius**Essence Reaver,3
12193,Kled**The Collector,3
12194,Kayn**Dead Man's Plate,3
12195,Gragas**Pauldrons of Whiterock,3
12196,Anivia**Evenshroud,3
12197,Jhin**Umbral Glaive,3
12198,Gangplank**Hexdrinker,3
12199,Nasus**Warmog's Armor,3
12200,Singed**Serpent's Fang,3
12201,Varus**Leeching Leer,3
12202,Zoe**Plated Steelcaps,3
12203,Samira**Edge of Night,3
12204,Sion**Health Potion,3
12205,Skarner**Winter's Approach,3
12206,Gangplank**Dark Seal,3
12207,Nidalee**Negatron Cloak,3
12208,Akali**Bramble Vest,3
12209,LeeSin**Aether Wisp,3
12210,Maokai**Forbidden Idol,3
12211,Caitlyn**Rageknife,3
12212,Gwen**Night Harvester,3
12213,Samira**Total Biscuit of Everlasting Will,3
12214,Zac**Doran's Blade,3
12215,Ezreal**Sterak's Gage,3
12216,Viego**Mejai's Soulstealer,3
12217,Kayle**Mikael's Blessing,3
12218,Bard**Total Biscuit of Everlasting Will,3
12219,Nasus**Crown of the Shattered Queen,3
12220,Caitlyn**Anathema's Chains,3
12221,Kaisa**Ravenous Hydra,3
12222,Bard**B. F. Sword,3
12223,Draven**Chempunk Chainsword,3
12224,Nasus**Zeke's Convergence,3
12225,Kassadin**Total Biscuit of Everlasting Will,3
12226,Jax**Hailblade,3
12227,Leona**Commencing Stopwatch,3
12228,Illaoi**Cull,3
12229,Sivir**Hexdrinker,3
12230,Akshan**Kindlegem,3
12231,Jinx**Guinsoo's Rageblade,3
12232,Teemo**Hextech Rocketbelt,3
12233,Rumble**Lost Chapter,3
12234,Twitch**Hexdrinker,3
12235,TahmKench**Pickaxe,3
12236,Maokai**Shurelya's Battlesong,3
12237,Sett**Hexdrinker,3
12238,Bard**Doran's Blade,3
12239,Ashe**Kircheis Shard,3
12240,Vex**Zeal,3
12241,Urgot**Umbral Glaive,3
12242,Darius**Sunfire Aegis,3
12243,Quinn**Kindlegem,3
12244,Rammus**Spirit Visage,3
12245,Skarner**Cosmic Drive,3
12246,Jax**Aether Wisp,3
12247,Vladimir**Tear of the Goddess,3
12248,Yorick**Recurve Bow,3
12249,Kennen**Immortal Shieldbow,3
12250,Vayne**Corrupting Potion,3
12251,Nasus**Elixir of Iron,3
12252,Ezreal**Force of Nature,3
12253,Draven**Kindlegem,3
12254,Volibear**Guardian Angel,3
12255,Riven**Boots of Swiftness,3
12256,MasterYi**Frozen Heart,3
12257,AurelionSol**Shard of True Ice,3
12258,Teemo**Mortal Reminder,3
12259,Poppy**Hearthbound Axe,3
12260,Zilean**Spectre's Cowl,3
12261,Elise**Abyssal Mask,3
12262,Zilean**Winter's Approach,3
12263,Morgana**Archangel's Staff,3
12264,Kayle**Frozen Heart,3
12265,Thresh**Long Sword,3
12266,Khazix**Rejuvenation Bead,3
12267,Poppy**Amplifying Tome,3
12268,Karma**Abyssal Mask,3
12269,Alistar**Imperial Mandate,3
12270,XinZhao**Zeal,3
12271,Ornn**Turbo Chemtank,3
12272,Lux**Your Cut,3
12273,Blitzcrank**Caulfield's Warhammer,3
12274,Elise**Tear of the Goddess,3
12275,Leblanc**Sapphire Crystal,3
12276,Ornn**Executioner's Calling,3
12277,Urgot**Lord Dominik's Regards,3
12278,Shen**Quicksilver Sash,3
12279,Kled**Turbo Chemtank,3
12280,Chogath**Knight's Vow,3
12281,Gangplank**Titanic Hydra,3
12282,Morgana**Aegis of the Legion,3
12283,Darius**Bami's Cinder,3
12284,MonkeyKing**Silvermere Dawn,3
12285,Jayce**Titanic Hydra,3
12286,Skarner**Elixir of Iron,3
12287,Alistar**Minion Dematerializer,3
12288,FiddleSticks**Bramble Vest,3
12289,Vi**Warmog's Armor,3
12290,Olaf**Ravenous Hydra,3
12291,Urgot**Pauldrons of Whiterock,3
12292,Fizz**Wit's End,3
12293,Fizz**Total Biscuit of Everlasting Will,3
12294,AurelionSol**Ornn upgraded item,1
12295,Cassiopeia**Sapphire Crystal,3
12296,Kindred**Doran's Shield,3
12297,Ornn**Stopwatch,3
12298,Camille**Black Mist Scythe,3
12299,Sejuani**Rabadon's Deathcap,3
12300,Sona**Spectre's Cowl,3
12301,Karma**Chain Vest,3
12302,Akshan**Liandry's Anguish,3
12303,Leblanc**Faerie Charm,3
12304,Hecarim**Recurve Bow,3
12305,Yasuo**Boots of Swiftness,3
12306,Swain**Night Harvester,3
12307,Shaco**Ornn upgraded item,1
12308,Taliyah**Spellthief's Edge,3
12309,Anivia**Abyssal Mask,3
12310,Twitch**Demonic Embrace,3
12311,Malphite**Your Cut,3
12312,Talon**Hailblade,3
12313,Sylas**Divine Sunderer,3
12314,Yuumi**Watchful Wardstone,3
12315,Lissandra**Ornn upgraded item,2
12316,Vayne**Zhonya's Hourglass,3
12317,Lucian**Fiendish Codex,3
12318,Poppy**Serylda's Grudge,3
12319,Xerath**Commencing Stopwatch,3
12320,Corki**Last Whisper,3
12321,KogMaw**Bami's Cinder,3
12322,Quinn**Vigilant Wardstone,3
12323,KogMaw**Anathema's Chains,3
12324,Rell**Minion Dematerializer,3
12325,Ashe**Bandleglass Mirror,3
12326,Riven**Mobility Boots,3
12327,Riven**Titanic Hydra,3
12328,Sejuani**Redemption,3
12329,Jax**Phantom Dancer,3
12330,Sona**Watchful Wardstone,3
12331,Vex**Anathema's Chains,3
12332,Vayne**Glacial Buckler,3
12333,Corki**Fiendish Codex,3
12334,Ivern**Abyssal Mask,3
12335,JarvanIV**Lost Chapter,3
12336,Rammus**Stopwatch,3
12337,Xayah**Mobility Boots,3
12338,Camille**Goredrinker,3
12339,Aphelios**Dark Seal,3
12340,Kindred**Manamune,3
12341,Nasus**Oblivion Orb,3
12342,Sivir**Black Mist Scythe,3
12343,Alistar**Doran's Ring,3
12344,Camille**Serrated Dirk,3
12345,Varus**Rapid Firecannon,3
12346,Alistar**Zeal,3
12347,Kayn**Total Biscuit of Everlasting Will,3
12348,Gnar**Abyssal Mask,3
12349,Rakan**Lost Chapter,3
12350,Malphite**Perfectly Timed Stopwatch,3
12351,Teemo**Sunfire Aegis,3
12352,Akali**Thornmail,3
12353,Zyra**Chemtech Putrifier,3
12354,Camille**Recurve Bow,3
12355,Gwen**Guinsoo's Rageblade,3
12356,Rell**Perfectly Timed Stopwatch,3
12357,Akali**Guardian Angel,3
12358,Ivern**Giant's Belt,3
12359,Ivern**Mercury's Treads,3
12360,Zyra**Targon's Buckler,3
12361,Amumu**Pauldrons of Whiterock,3
12362,Irelia**Crystalline Bracer,3
12363,Jinx**Eclipse,3
12364,Tristana**Tear of the Goddess,3
12365,Nidalee**Winged Moonplate,3
12366,Zoe**Berserker's Greaves,3
12367,KogMaw**Banshee's Veil,3
12368,Udyr**Mobility Boots,3
12369,Senna**Spectre's Cowl,3
12370,Rakan**Turbo Chemtank,3
12371,Malphite**Doran's Blade,3
12372,Xerath**Sapphire Crystal,3
12373,Morgana**Zeke's Convergence,3
12374,Gwen**Gargoyle Stoneplate,3
12375,JarvanIV**Crystalline Bracer,3
12376,Zed**Spectre's Cowl,3
12377,Elise**Negatron Cloak,3
12378,TahmKench**Blasting Wand,3
12379,Kindred**Corrupting Potion,3
12380,Viktor**Rageknife,3
12381,Fizz**Elixir of Sorcery,3
12382,Illaoi**Winged Moonplate,3
12383,Pyke**Spectral Sickle,3
12384,Rengar**Hearthbound Axe,3
12385,Kayn**Crown of the Shattered Queen,3
12386,FiddleSticks**Locket of the Iron Solari,3
12387,Camille**Abyssal Mask,3
12388,Sett**Corrupting Potion,3
12389,Mordekaiser**Corrupting Potion,3
12390,Nidalee**Runaan's Hurricane,3
12391,Corki**Frozen Heart,3
12392,Akali**Targon's Buckler,3
12393,Zyra**Total Biscuit of Everlasting Will,3
12394,Nidalee**Chain Vest,3
12395,MissFortune**Void Staff,3
12396,Malphite**Boots of Swiftness,3
12397,Bard**Hextech Alternator,3
12398,Yasuo**Sterak's Gage,3
12399,Corki**Dark Seal,3
12400,Morgana**Bramble Vest,3
12401,Malphite**Long Sword,3
12402,Pyke**Goredrinker,3
12403,Kennen**Quicksilver Sash,3
12404,Shaco**Perfectly Timed Stopwatch,3
12405,FiddleSticks**Long Sword,3
12406,Xayah**Tiamat,3
12407,Vayne**Gargoyle Stoneplate,3
12408,Graves**Sorcerer's Shoes,3
12409,Rammus**Hailblade,3
12410,Qiyana**Aether Wisp,3
12411,Jayce**Sheen,3
12412,Hecarim**Titanic Hydra,3
12413,Varus**Black Mist Scythe,3
12414,Teemo**Chemtech Putrifier,3
12415,Nami**Lost Chapter,3
12416,Neeko**Cloak of Agility,3
12417,Ekko**Warden's Mail,3
12418,Alistar**Tiamat,3
12419,Talon**Cull,3
12420,Lux**Lich Bane,3
12421,Gangplank**Giant's Belt,3
12422,MonkeyKing**Winged Moonplate,3
12423,Syndra**Frostfang,3
12424,Veigar**Demonic Embrace,3
12425,MonkeyKing**Warmog's Armor,3
12426,Sett**Essence Reaver,3
12427,MissFortune**Shadowflame,3
12428,Sett**Noonquiver,3
12429,Elise**Randuin's Omen,3
12430,Kaisa**Mobility Boots,3
12431,Trundle**Health Potion,3
12432,Malzahar**Boots of Swiftness,3
12433,Kayle**Shurelya's Battlesong,3
12434,Jax**Eclipse,3
12435,Nasus**Pauldrons of Whiterock,3
12436,KogMaw**Force of Nature,3
12437,Gnar**Cloak of Agility,3
12438,Talon**Sorcerer's Shoes,3
12439,Gangplank**Black Cleaver,3
12440,Talon**Total Biscuit of Everlasting Will,3
12441,Chogath**Vigilant Wardstone,3
12442,FiddleSticks**Spectre's Cowl,3
12443,Rell**Spirit Visage,3
12444,Nautilus**Serpent's Fang,3
12445,Hecarim**Rapid Firecannon,3
12446,Ivern**Knight's Vow,3
12447,Gnar**Emberknife,3
12448,Tristana**Mobility Boots,3
12449,Thresh**Immortal Shieldbow,3
12450,Rumble**Perfectly Timed Stopwatch,3
12451,MissFortune**Mejai's Soulstealer,3
12452,Nasus**Luden's Tempest,3
12453,Rakan**Slightly Magical Footwear,3
12454,Kaisa**Navori Quickblades,3
12455,Viego**Total Biscuit of Everlasting Will,3
12456,Ashe**Prowler's Claw,3
12457,Vayne**Chempunk Chainsword,3
12458,Aphelios**Zhonya's Hourglass,3
12459,Viego**Turbo Chemtank,3
12460,Qiyana**Mejai's Soulstealer,3
12461,Senna**Forbidden Idol,3
12462,Zyra**Null-Magic Mantle,3
12463,Lucian**Elixir of Wrath,3
12464,Vi**Umbral Glaive,3
12465,Lillia**Winter's Approach,3
12466,Elise**Winged Moonplate,3
12467,Shyvana**Immortal Shieldbow,3
12468,TwistedFate**Doran's Shield,3
12469,Nasus**Lost Chapter,3
12470,Warwick**Rageknife,3
12471,Gwen**Hextech Rocketbelt,3
12472,Malphite**Tiamat,3
12473,Gwen**Divine Sunderer,3
12474,Shyvana**Spirit Visage,3
12475,Pantheon**Mortal Reminder,3
12476,Jax**Nashor's Tooth,3
12477,Brand**Kindlegem,3
12478,DrMundo**Demonic Embrace,3
12479,Annie**Fimbulwinter,3
12480,Varus**Blasting Wand,3
12481,Shen**Guardian Angel,3
12482,Rammus**Total Biscuit of Everlasting Will,3
12483,Diana**Randuin's Omen,3
12484,Neeko**Sheen,3
12485,Skarner**Crown of the Shattered Queen,3
12486,Rammus**Broken Stopwatch,3
12487,MonkeyKing**Dead Man's Plate,3
12488,Jhin**Ravenous Hydra,3
12489,Sejuani**Luden's Tempest,3
12490,Vi**Guinsoo's Rageblade,3
12491,Nautilus**Sheen,3
12492,Urgot**Kraken Slayer,3
12493,Riven**Tear of the Goddess,3
12494,Leblanc**Lich Bane,3
12495,Volibear**Stridebreaker,3
12496,Vladimir**Anathema's Chains,3
12497,Udyr**Essence Reaver,3
12498,Viktor**Rejuvenation Bead,3
12499,Shyvana**Executioner's Calling,3
12500,Nunu**Ornn upgraded item,1
12501,Quinn**Ornn upgraded item,3
12502,LeeSin**Elixir of Wrath,3
12503,Kayle**Lost Chapter,3
12504,Nami**Long Sword,3
12505,Cassiopeia**Chain Vest,3
12506,Janna**Executioner's Calling,3
12507,Akali**Axiom Arc,3
12508,TwistedFate**Axiom Arc,3
12509,Poppy**Maw of Malmortius,3
12510,Veigar**Redemption,3
12511,Galio**Bami's Cinder,3
12512,Brand**Perfectly Timed Stopwatch,3
12513,XinZhao**Duskblade of Draktharr,3
12514,Hecarim**Zhonya's Hourglass,3
